snapshot_date,snapshot_datetime_utc,views_14d,unique_views_14d,clones_14d,unique_clones_14d,stars,forks,watchers,open_issues
2026-05-30,2026-05-30T14:56:44+00:00,71,10,359,187,2,0,1,0
2026-05-31,2026-05-31T07:30:19+00:00,65,9,213,101,2,0,1,0
2026-06-01,2026-06-01T08:05:12+00:00,71,9,216,99,2,0,1,0
2026-06-02,2026-06-02T07:53:40+00:00,71,9,216,99,2,0,1,0
2026-06-03,2026-06-03T22:46:29+00:00,72,9,235,108,2,0,1,0
2026-06-04,2026-06-04T07:50:54+00:00,77,8,253,107,2,0,1,0
2026-06-05,2026-06-05T07:43:18+00:00,81,8,255,110,2,0,1,0
2026-06-06,2026-06-06T07:15:24+00:00,68,6,230,108,2,0,1,0
2026-06-07,2026-06-07T07:35:50+00:00,74,7,235,110,2,0,1,0
2026-06-08,2026-06-08T08:00:08+00:00,83,8,251,118,2,0,1,0
2026-06-09,2026-06-09T07:28:10+00:00,83,8,251,118,2,0,1,0
2026-06-10,2026-06-10T07:43:29+00:00,80,9,260,123,2,0,1,0
2026-06-11,2026-06-11T07:56:01+00:00,67,8,255,118,2,0,1,0
2026-06-12,2026-06-12T07:51:22+00:00,67,8,255,118,2,0,1,0
2026-06-13,2026-06-13T07:30:08+00:00,67,8,255,118,2,0,1,0
2026-06-14,2026-06-14T07:48:21+00:00,69,7,173,84,2,0,1,0
2026-06-15,2026-06-15T08:19:06+00:00,63,7,174,81,2,0,1,0
2026-06-16,2026-06-16T08:11:45+00:00,63,7,174,81,2,0,1,0
2026-06-17,2026-06-17T08:07:07+00:00,73,9,178,80,2,0,1,0
2026-06-18,2026-06-18T07:56:14+00:00,73,9,178,80,2,0,1,0
2026-06-19,2026-06-19T08:07:19+00:00,69,11,312,150,2,0,1,0
2026-06-20,2026-06-20T07:32:10+00:00,71,11,330,158,2,0,1,0
2026-06-21,2026-06-21T07:51:06+00:00,70,11,479,199,2,0,1,0
2026-06-22,2026-06-22T08:19:22+00:00,74,10,523,216,2,0,1,0
